PHYSICAL_CITY,year,Quarter,how_many,avg_sale_price,avg_sqft
ANGIER,2023,1,3,440000.000000000000,2990.0000000000000000
ANGIER,2023,2,1,340000.000000000000,2054.0000000000000000
APEX,2023,1,267,545711.610486891386,2396.2284644194756554
APEX,2023,2,60,552491.666666666667,2455.9166666666666667
CARY,2023,1,312,573750.000000000000,2379.6730769230769231
CARY,2023,2,94,566558.510638297872,2294.0638297872340426
CLAYTON,2023,1,2,297500.000000000000,2162.5000000000000000
CREEDMOOR,2023,2,1,395000.000000000000,1813.0000000000000000
DURHAM,2023,1,2,450000.000000000000,1940.0000000000000000
FUQUAY VARINA,2023,1,366,450624.306010928962,2252.8934426229508197
FUQUAY VARINA,2023,2,61,471524.590163934426,2388.8688524590163934
GARNER,2023,1,128,391519.531250000000,2211.6093750000000000
GARNER,2023,2,37,386027.027027027027,1973.3513513513513514
HOLLY SPRINGS,2023,1,171,570558.479532163743,2627.6374269005847953
HOLLY SPRINGS,2023,2,47,539574.468085106383,2487.9574468085106383
KNIGHTDALE,2023,1,115,377891.304347826087,2109.0521739130434783
KNIGHTDALE,2023,2,24,364312.500000000000,2001.3750000000000000
MORRISVILLE,2023,1,38,490973.684210526316,2162.4210526315789474
MORRISVILLE,2023,2,14,576071.428571428571,2322.7857142857142857
NEW HILL,2023,1,36,634444.444444444444,2866.6666666666666667
NEW HILL,2023,2,10,655350.000000000000,2922.1000000000000000
RALEIGH,2023,1,1105,441316.470588235294,2067.4841628959276018
RALEIGH,2023,2,347,454570.893371757925,2015.1152737752161383
ROLESVILLE,2023,1,14,485607.142857142857,2439.0714285714285714
ROLESVILLE,2023,2,7,509285.714285714286,2690.2857142857142857
WAKE FOREST,2023,1,215,533283.720930232558,2596.7906976744186047
WAKE FOREST,2023,2,94,544829.787234042553,2569.8404255319148936
WENDELL,2023,1,101,426154.455445544554,2017.0495049504950495
WENDELL,2023,2,28,401910.714285714286,1890.3214285714285714
WILLOW SPRING,2023,1,30,438633.333333333333,2430.4000000000000000
WILLOW SPRING,2023,2,9,441722.222222222222,2184.7777777777777778
ZEBULON,2023,1,82,336801.219512195122,1989.1585365853658537
ZEBULON,2023,2,20,313960.000000000000,1965.5000000000000000
ANGIER,2022,1,15,399200.000000000000,2427.4000000000000000
ANGIER,2022,2,13,430346.153846153846,2333.3076923076923077
ANGIER,2022,3,5,420200.000000000000,2800.0000000000000000
ANGIER,2022,4,6,387083.333333333333,2319.0000000000000000
APEX,2022,1,412,539921.844660194175,2483.8082524271844660
APEX,2022,2,528,590038.825757575758,2488.0208333333333333
APEX,2022,3,479,593713.987473903967,2511.4592901878914405
APEX,2022,4,335,575356.716417910448,2462.0059701492537313
CARY,2022,1,471,550573.460721868365,2329.9872611464968153
CARY,2022,2,619,578153.473344103393,2329.9095315024232633
CARY,2022,3,554,578654.332129963899,2336.8104693140794224
CARY,2022,4,430,577415.581395348837,2354.0418604651162791
CLAYTON,2022,1,3,398333.333333333333,1827.6666666666666667
CLAYTON,2022,2,2,407500.000000000000,1808.0000000000000000
CLAYTON,2022,3,7,318342.857142857143,1517.5714285714285714
CLAYTON,2022,4,2,432000.000000000000,2134.5000000000000000
CREEDMOOR,2022,2,1,185000.000000000000,1020.0000000000000000
DURHAM,2022,1,2,395500.000000000000,1754.5000000000000000
DURHAM,2022,2,4,459250.000000000000,1969.0000000000000000
DURHAM,2022,3,22,457863.636363636364,2061.4545454545454545
DURHAM,2022,4,3,420000.000000000000,1888.3333333333333333
FUQUAY VARINA,2022,1,467,429260.809421841542,2288.7044967880085653
FUQUAY VARINA,2022,2,547,480016.453382084095,2348.4204753199268739
FUQUAY VARINA,2022,3,562,488343.807829181495,2381.6316725978647687
FUQUAY VARINA,2022,4,483,495009.474120082816,2434.5693581780538302
GARNER,2022,1,216,388750.925925925926,2141.7870370370370370
GARNER,2022,2,268,417916.044776119403,2159.6902985074626866
GARNER,2022,3,193,413658.031088082902,2105.8393782383419689
GARNER,2022,4,125,389320.000000000000,2097.0880000000000000
HOLLY SPRINGS,2022,1,255,553185.882352941176,2712.0745098039215686
HOLLY SPRINGS,2022,2,367,596693.460490463215,2703.3623978201634877
HOLLY SPRINGS,2022,3,318,599319.182389937107,2693.4119496855345912
HOLLY SPRINGS,2022,4,284,607961.267605633803,2784.3591549295774648
KNIGHTDALE,2022,1,152,380603.947368421053,2108.0328947368421053
KNIGHTDALE,2022,2,165,395616.969696969697,2076.4969696969696970
KNIGHTDALE,2022,3,155,406550.322580645161,2154.5870967741935484
KNIGHTDALE,2022,4,105,392710.476190476190,2115.4285714285714286
MORRISVILLE,2022,1,63,550268.253968253968,2366.6666666666666667
MORRISVILLE,2022,2,90,572283.333333333333,2319.0888888888888889
MORRISVILLE,2022,3,101,576158.415841584158,2424.3663366336633663
MORRISVILLE,2022,4,43,542720.930232558140,2321.7441860465116279
NEW HILL,2022,1,31,594516.129032258065,2785.1935483870967742
NEW HILL,2022,2,21,611142.857142857143,2859.8095238095238095
NEW HILL,2022,3,28,600017.857142857143,2708.7857142857142857
NEW HILL,2022,4,38,627055.263157894737,2940.7368421052631579
RALEIGH,2022,1,1638,442012.210012210012,2047.5018315018315018
RALEIGH,2022,2,1927,482606.019719771666,2061.0778412039439543
RALEIGH,2022,3,1710,468936.549707602339,2078.3596491228070175
RALEIGH,2022,4,1267,458868.666140489345,2056.2257300710339384
ROLESVILLE,2022,1,43,470674.418604651163,2593.1860465116279070
ROLESVILLE,2022,2,64,532820.312500000000,2572.0625000000000000
ROLESVILLE,2022,3,70,534185.714285714286,2594.9571428571428571
ROLESVILLE,2022,4,44,507818.181818181818,2599.8863636363636364
WAKE FOREST,2022,1,353,510847.308781869688,2568.5807365439093484
WAKE FOREST,2022,2,416,559825.721153846154,2617.4206730769230769
WAKE FOREST,2022,3,417,557212.230215827338,2674.3597122302158273
WAKE FOREST,2022,4,292,522751.712328767123,2636.3150684931506849
WENDELL,2022,1,151,353172.794701986755,1846.1986754966887417
WENDELL,2022,2,227,399958.149779735683,1942.1938325991189427
WENDELL,2022,3,172,427111.627906976744,1991.4593023255813953
WENDELL,2022,4,158,449215.822784810127,2074.1329113924050633
WILLOW SPRING,2022,1,58,428331.034482758621,2345.5172413793103448
WILLOW SPRING,2022,2,70,458558.571428571429,2326.7857142857142857
WILLOW SPRING,2022,3,68,473963.235294117647,2467.7941176470588235
WILLOW SPRING,2022,4,60,464186.666666666667,2602.6000000000000000
YOUNGSVILLE,2022,1,1,130000.000000000000,1152.0000000000000000
YOUNGSVILLE,2022,2,3,256666.666666666667,1183.0000000000000000
YOUNGSVILLE,2022,3,3,303333.333333333333,1472.3333333333333333
YOUNGSVILLE,2022,4,1,295000.000000000000,1152.0000000000000000
ZEBULON,2022,1,119,330221.848739495798,1983.0924369747899160
ZEBULON,2022,2,147,379985.034013605442,2150.9659863945578231
ZEBULON,2022,3,135,376011.111111111111,2065.4592592592592593
ZEBULON,2022,4,126,336533.333333333333,1896.7142857142857143
ANGIER,2021,1,23,292586.956521739130,2466.7391304347826087
ANGIER,2021,2,30,297650.000000000000,2287.4000000000000000
ANGIER,2021,3,32,326921.875000000000,2510.5000000000000000
ANGIER,2021,4,22,351318.181818181818,2485.0454545454545455
APEX,2021,1,582,454722.508591065292,2683.2405498281786942
APEX,2021,2,672,489044.196428571429,2707.2961309523809524
APEX,2021,3,629,517959.618441971383,2743.6565977742448331
APEX,2021,4,550,548305.636363636364,2665.1145454545454545
CARY,2021,1,549,436163.934426229508,2477.5719489981785064
CARY,2021,2,887,487657.158962795941,2549.3359639233370913
CARY,2021,3,716,517110.614525139665,2486.2402234636871508
CARY,2021,4,616,528080.357142857143,2473.2337662337662338
CLAYTON,2021,1,2,292500.000000000000,1897.0000000000000000
CLAYTON,2021,2,5,254200.000000000000,1633.0000000000000000
CLAYTON,2021,3,8,302187.500000000000,1700.6250000000000000
CLAYTON,2021,4,5,293800.000000000000,1680.4000000000000000
CREEDMOOR,2021,1,1,68000.000000000000,1784.0000000000000000
CREEDMOOR,2021,3,1,575000.000000000000,3929.0000000000000000
DURHAM,2021,1,3,313000.000000000000,1846.6666666666666667
DURHAM,2021,2,4,335500.000000000000,1820.2500000000000000
DURHAM,2021,3,2,357750.000000000000,1787.5000000000000000
FUQUAY VARINA,2021,1,363,336756.749311294766,2283.2617079889807163
FUQUAY VARINA,2021,2,565,378450.619469026549,2378.0814159292035398
FUQUAY VARINA,2021,3,621,379002.735909822866,2268.4991948470209340
FUQUAY VARINA,2021,4,596,409584.731543624161,2356.5218120805369128
GARNER,2021,1,161,288435.279503105590,1958.2546583850931677
GARNER,2021,2,214,307071.495327102804,1943.9252336448598131
GARNER,2021,3,199,338492.462311557789,2076.0050251256281407
GARNER,2021,4,240,353193.750000000000,2081.9958333333333333
HOLLY SPRINGS,2021,1,372,431006.720430107527,2661.3091397849462366
HOLLY SPRINGS,2021,2,452,456882.400442477876,2664.2212389380530973
HOLLY SPRINGS,2021,3,405,502273.691358024691,2784.6987654320987654
HOLLY SPRINGS,2021,4,358,518032.960893854749,2736.8687150837988827
KNIGHTDALE,2021,1,134,277900.634328358209,1973.8656716417910448
KNIGHTDALE,2021,2,156,308227.564102564103,2031.1410256410256410
KNIGHTDALE,2021,3,155,313521.290322580645,1934.0193548387096774
KNIGHTDALE,2021,4,205,353023.414634146341,2097.9121951219512195
MORRISVILLE,2021,1,101,380618.811881188119,2253.2376237623762376
MORRISVILLE,2021,2,135,434952.592592592593,2327.0888888888888889
MORRISVILLE,2021,3,122,479762.295081967213,2389.3688524590163934
MORRISVILLE,2021,4,95,494631.578947368421,2338.5157894736842105
NEW HILL,2021,1,61,486836.065573770492,3095.7868852459016393
NEW HILL,2021,2,66,485378.787878787879,2949.0303030303030303
NEW HILL,2021,3,60,505800.000000000000,3098.8833333333333333
NEW HILL,2021,4,51,572882.352941176471,3056.9215686274509804
RALEIGH,2021,1,1641,368644.626447288239,2132.2236441194393662
RALEIGH,2021,2,2392,413393.979933110368,2206.6985785953177258
RALEIGH,2021,3,2075,417792.481927710843,2128.0544578313253012
RALEIGH,2021,4,2461,391847.419748069890,1971.9654611946363267
ROLESVILLE,2021,1,78,375767.948717948718,2567.4102564102564103
ROLESVILLE,2021,2,81,425792.592592592593,2638.5679012345679012
ROLESVILLE,2021,3,52,454980.769230769231,2761.0961538461538462
ROLESVILLE,2021,4,60,480508.333333333333,2707.7166666666666667
WAKE FOREST,2021,1,366,420860.382513661202,2711.1475409836065574
WAKE FOREST,2021,2,534,448987.265917602996,2651.0056179775280899
WAKE FOREST,2021,3,472,458915.254237288136,2645.9004237288135593
WAKE FOREST,2021,4,526,485857.034220532319,2662.5760456273764259
WENDELL,2021,1,155,310811.245161290323,1983.2709677419354839
WENDELL,2021,2,155,334250.967741935484,2018.0387096774193548
WENDELL,2021,3,135,342688.888888888889,1982.1037037037037037
WENDELL,2021,4,150,367506.666666666667,2015.8466666666666667
WILLOW SPRING,2021,1,59,342237.288135593220,2311.1694915254237288
WILLOW SPRING,2021,2,80,380262.500000000000,2565.2625000000000000
WILLOW SPRING,2021,3,64,391573.437500000000,2410.8593750000000000
WILLOW SPRING,2021,4,63,416152.380952380952,2498.3968253968253968
YOUNGSVILLE,2021,1,2,225500.000000000000,1165.0000000000000000
YOUNGSVILLE,2021,2,2,117000.000000000000,1166.0000000000000000
YOUNGSVILLE,2021,3,3,226666.666666666667,1169.3333333333333333
ZEBULON,2021,1,104,271506.923076923077,2170.1153846153846154
ZEBULON,2021,2,154,271683.142857142857,1961.9480519480519481
ZEBULON,2021,3,132,293193.181818181818,2033.3863636363636364
ZEBULON,2021,4,149,305285.228187919463,2002.5771812080536913
ANGIER,2020,1,3,329666.666666666667,2942.0000000000000000
ANGIER,2020,2,11,277545.454545454545,2297.0909090909090909
ANGIER,2020,3,15,295000.000000000000,2410.2666666666666667
ANGIER,2020,4,22,284159.090909090909,2418.2272727272727273
APEX,2020,1,501,420171.822355289421,2720.1397205588822355
APEX,2020,2,636,433687.106918238994,2733.0283018867924528
APEX,2020,3,777,440118.661518661519,2713.8275418275418275
APEX,2020,4,731,440192.339261285910,2687.7291381668946648
CARY,2020,1,484,419628.099173553719,2563.1239669421487603
CARY,2020,2,647,427462.905718701700,2562.2318392581143740
CARY,2020,3,725,438255.172413793103,2608.4206896551724138
CARY,2020,4,627,433317.543859649123,2527.2424242424242424
CLAYTON,2020,1,3,194333.333333333333,1586.6666666666666667
CLAYTON,2020,2,5,254000.000000000000,1827.2000000000000000
CLAYTON,2020,3,7,280500.000000000000,1948.2857142857142857
CLAYTON,2020,4,5,285000.000000000000,1880.8000000000000000
CREEDMOOR,2020,2,1,390000.000000000000,2224.0000000000000000
DURHAM,2020,1,7,320571.428571428571,1908.8571428571428571
DURHAM,2020,2,7,331357.142857142857,1974.7142857142857143
DURHAM,2020,3,9,311500.000000000000,1847.5555555555555556
DURHAM,2020,4,2,324000.000000000000,1870.5000000000000000
FUQUAY VARINA,2020,1,310,307675.664516129032,2234.5129032258064516
FUQUAY VARINA,2020,2,347,321492.507204610951,2291.8674351585014409
FUQUAY VARINA,2020,3,435,328754.942528735632,2336.8643678160919540
FUQUAY VARINA,2020,4,479,337547.390396659708,2378.9415448851774530
GARNER,2020,1,143,266743.258741258741,2113.5314685314685315
GARNER,2020,2,159,271855.182389937107,2049.7610062893081761
GARNER,2020,3,198,283578.787878787879,2120.9494949494949495
GARNER,2020,4,156,282614.102564102564,2032.0384615384615385
HOLLY SPRINGS,2020,1,281,393355.516014234875,2702.5871886120996441
HOLLY SPRINGS,2020,2,362,402526.243093922652,2705.4558011049723757
HOLLY SPRINGS,2020,3,388,414804.123711340206,2697.5309278350515464
HOLLY SPRINGS,2020,4,400,425391.250000000000,2691.3950000000000000
KNIGHTDALE,2020,1,143,263514.615384615385,2134.0489510489510490
KNIGHTDALE,2020,2,141,272057.602836879433,2141.0070921985815603
KNIGHTDALE,2020,3,200,274807.500000000000,2181.4900000000000000
KNIGHTDALE,2020,4,191,282227.225130890052,2145.9319371727748691
MORRISVILLE,2020,1,75,331646.666666666667,2120.0000000000000000
