PHYSICAL_CITY,average_sales_price
ANGIER,298873.817034700315
APEX,421742.117335857883
CARY,417259.343777122027
CLAYTON,226551.879699248120
CREEDMOOR,260750.000000000000
DURHAM,310424.528301886792
FUQUAY VARINA,336433.382061407043
GARNER,275927.567061520825
HOLLY SPRINGS,404397.324510479189
KNIGHTDALE,267255.461234474972
MORRISVILLE,351713.336734693878
NEW HILL,472110.074626865672
RALEIGH,339646.873855398703
ROLESVILLE,361425.642989786444
WAKE FOREST,387271.711922249425
WENDELL,288152.452825364357
WILLOW SPRING,314420.207605985037
YOUNGSVILLE,187322.916666666667
ZEBULON,261071.729194187583
