PHYSICAL_CITY,average_sqft
ANGIER,2507.8138801261829653
APEX,2658.2148465779361809
CARY,2571.0633570560666551
CLAYTON,1789.7518796992481203
CREEDMOOR,2024.0000000000000000
DURHAM,1843.9748427672955975
FUQUAY VARINA,2320.9696188250463373
GARNER,2073.3817348108521207
HOLLY SPRINGS,2645.0227295090032471
KNIGHTDALE,2163.2971396311629658
MORRISVILLE,2335.8729128014842301
NEW HILL,2892.1222014925373134
RALEIGH,2184.2250890245453389
ROLESVILLE,2715.0858867223769731
WAKE FOREST,2662.3259143853401588
WENDELL,1966.3942725645614932
WILLOW SPRING,2291.4987531172069825
YOUNGSVILLE,1330.0625000000000000
ZEBULON,2047.1981505944517834
