PHYSICAL_CITY,PHYSICAL_ZIP_CODE,average_sales_price
ANGIER,27501,298873.817034700315
APEX,27502,403437.911458333333
APEX,27523,489807.826513911620
APEX,27539,406008.049243231720
CARY,27511,337287.367619556505
CARY,27513,385280.277710320902
CARY,27518,459947.151424287856
CARY,27519,451286.152005888848
CLAYTON,27520,226551.879699248120
CREEDMOOR,27522,260750.000000000000
DURHAM,27703,310424.528301886792
FUQUAY VARINA,27526,336433.382061407043
GARNER,27529,275927.567061520825
HOLLY SPRINGS,27540,404397.324510479189
KNIGHTDALE,27545,267255.461234474972
MORRISVILLE,27560,351713.336734693878
NEW HILL,27562,472110.074626865672
RALEIGH,27601,402122.457627118644
RALEIGH,27603,315535.116913123845
RALEIGH,27604,259914.806307053942
RALEIGH,27605,590427.286343612335
RALEIGH,27606,356313.278425196850
RALEIGH,27607,473728.873538788523
RALEIGH,27608,590942.154707044108
RALEIGH,27609,408049.749484232243
RALEIGH,27610,226900.579747427502
RALEIGH,27612,413098.820733863837
RALEIGH,27613,403787.951807228916
RALEIGH,27614,408746.899139262856
RALEIGH,27615,383117.647058823529
RALEIGH,27616,266893.985263157895
RALEIGH,27617,346451.681075888569
ROLESVILLE,27571,361425.642989786444
WAKE FOREST,27587,387271.711922249425
WENDELL,27591,288152.452825364357
WILLOW SPRING,27592,314420.207605985037
YOUNGSVILLE,27596,187322.916666666667
ZEBULON,27597,261071.729194187583
