REAL_ESTATE_ID,Township,Deeded_Acreage,Total_sale_Price,Year_Built,HEATED_AREA,DESIGN_STYLE,BATH,Story_Height,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,year,month,Quarter
35,1,0.49,319000,1938,4650,A,F,B,RALEIGH,27608.0,1996,1,1
44,4,0.22,78000,1956,840,A,A,A,CARY,27513.0,1996,4,2
47,4,0.29,98000,1956,1489,A,C,A,CARY,27513.0,1996,7,3
66,1,0.6,83500,1950,1457,A,B,A,RALEIGH,27606.0,1992,1,1
72,1,0.31,71000,1960,975,G,A,A,RALEIGH,27610.0,1999,4,2
82,1,0.37,53500,1960,1009,A,C,A,RALEIGH,27610.0,1994,12,4
115,12,0.35,83500,1951,3010,A,E,I,FUQUAY VARINA,27526.0,1995,6,2
134,17,0.27,119000,1975,1570,A,C,A,RALEIGH,27604.0,1998,8,3
167,17,0.39,87000,1972,1279,A,B,A,RALEIGH,27604.0,1995,8,3
174,17,0.31,84000,1972,1196,A,B,A,RALEIGH,27604.0,1997,9,3
183,11,0.36,157500,1975,2806,A,D,C,RALEIGH,27607.0,1993,7,3
188,11,0.43,199000,1975,2999,A,F,C,RALEIGH,27607.0,1999,6,2
258,1,0.11,120000,1930,1226,A,A,A,RALEIGH,27607.0,1996,5,2
312,1,0.33,325000,1990,3403,A,F,C,RALEIGH,27608.0,1992,6,2
343,12,0.8,106000,1959,1416,A,A,A,WILLOW SPRING,27592.0,1995,6,2
346,19,0.28,87500,1966,1350,G,C,A,ROLESVILLE,27571.0,1998,5,2
374,17,0.54,131000,1972,2148,A,C,A,RALEIGH,27604.0,1993,5,2
377,17,0.31,103000,1972,2136,I,D,A,RALEIGH,27604.0,1994,11,4
387,12,0.7,32000,1975,640,A,A,A,FUQUAY VARINA,27526.0,1991,6,2
454,17,0.56,100000,1961,1637,G,B,A,KNIGHTDALE,27545.0,1997,3,1
468,19,0.4,187000,1931,2936,A,C,C,WAKE FOREST,27587.0,1998,9,3
487,16,0.42,64500,1971,1066,G,C,A,GARNER,27529.0,1990,6,2
498,1,0.55,65500,1956,2864,I,E,A,RALEIGH,27609.0,1995,10,4
501,1,0.41,100000,1995,1263,A,C,A,RALEIGH,27610.0,1995,3,1
502,1,0.5,1000,1963,2144,A,C,A,RALEIGH,27610.0,1995,3,1
528,12,1.43,127000,1994,1824,A,D,C,WILLOW SPRING,27592.0,1994,10,4
552,17,0.39,500,1940,1862,G,A,A,KNIGHTDALE,27545.0,1996,6,2
564,7,0.37,140000,1967,2460,G,C,A,RALEIGH,27612.0,1991,8,3
570,18,0.79,67000,1963,1536,G,B,A,RALEIGH,27603.0,1995,8,3
614,12,0.22,50000,1948,840,A,A,A,FUQUAY VARINA,27526.0,1994,10,4
635,1,0.23,95000,1962,1673,I,B,A,RALEIGH,27610.0,1998,9,3
636,11,0.3,78000,1968,2223,A,C,A,RALEIGH,27607.0,1997,6,2
657,13,0.29,160000,1969,2064,I,D,A,RALEIGH,27615.0,1998,7,3
658,4,0.62,174500,1968,2913,I,F,A,RALEIGH,27607.0,1998,7,3
696,7,0.36,115000,1972,1212,A,C,A,RALEIGH,27609.0,1996,9,3
697,7,0.39,123000,1972,1456,A,C,A,RALEIGH,27609.0,1998,6,2
705,7,0.29,107000,1973,1926,A,B,C,RALEIGH,27609.0,1991,12,4
717,7,0.26,120000,1973,1625,A,C,C,RALEIGH,27609.0,1996,2,1
722,7,0.26,88000,1973,1830,A,C,A,RALEIGH,27609.0,1994,6,2
738,7,0.29,129000,1972,1620,A,B,A,RALEIGH,27609.0,1999,7,3
739,7,0.31,74500,1972,1612,A,C,A,RALEIGH,27609.0,1990,12,4
742,7,0.32,116500,1972,1612,I,C,A,RALEIGH,27609.0,1998,5,2
748,7,0.27,97500,1972,1200,A,C,A,RALEIGH,27609.0,1994,8,3
752,7,0.27,119000,1972,1620,A,C,A,RALEIGH,27609.0,1996,10,4
767,7,0.26,97000,1973,1650,A,C,A,RALEIGH,27609.0,1994,5,2
773,7,0.33,90000,1973,1100,A,C,A,RALEIGH,27609.0,1994,5,2
815,7,0.22,97000,1972,1320,A,B,A,RALEIGH,27615.0,1997,4,2
834,7,0.27,88000,1971,1254,A,B,A,RALEIGH,27615.0,1995,10,4
852,4,0.27,120000,1971,1826,I,B,A,CARY,27511.0,1996,12,4
877,16,0.47,97000,1972,1841,J,E,A,RALEIGH,27603.0,1992,2,1
906,4,0.43,130000,1962,2353,I,F,A,CARY,27511.0,1994,6,2
920,12,0.62,35000,1910,2000,A,C,A,FUQUAY VARINA,27526.0,1992,1,1
925,12,0.17,25000,1930,1232,A,A,A,FUQUAY VARINA,27526.0,1996,4,2
948,12,0.43,52000,1948,1762,A,C,A,FUQUAY VARINA,27526.0,1992,9,3
1032,19,0.47,129000,1966,1662,A,C,A,WAKE FOREST,27587.0,1997,9,3
1033,16,0.79,1500,1942,2591,A,E,A,GARNER,27529.0,1999,4,2
1034,4,0.82,146500,1971,2428,A,C,A,RALEIGH,27607.0,1991,7,3
