Township,Deeded_Acreage,Total_sale_Price,Year_Built,HEATED_AREA,DESIGN_STYLE,BATH,Story_Height,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,year,month,Quarter
10,0.46,37500,1900,2261,A,C,A,WENDELL,27591.0,2004,9,3
13,0.39,337500,1970,2463,A,C,A,RALEIGH,27615.0,2002,7,3
1,0.13,425000,1921,1890,A,C,C,RALEIGH,27604.0,2008,4,2
1,0.28,175000,1950,1050,A,A,A,RALEIGH,27604.0,2005,4,2
7,0.36,236000,1970,3000,A,D,C,RALEIGH,27609.0,2009,6,2
1,0.45,265000,1961,1512,A,C,A,RALEIGH,27609.0,2009,8,3
4,1.03,215000,1973,2187,G,E,A,CARY,27511.0,2003,9,3
7,0.38,202000,1971,1994,I,C,A,RALEIGH,27609.0,2008,6,2
1,0.31,247000,2008,2514,A,D,C,RALEIGH,27605.0,2002,10,4
4,0.3,160000,1967,1671,G,C,A,CARY,27511.0,2009,11,4
1,0.48,201500,1962,1852,I,D,A,RALEIGH,27609.0,2003,11,4
1,0.13,171000,1915,1391,A,A,A,RALEIGH,27605.0,2003,3,1
20,0.29,120000,1971,1518,I,B,A,APEX,27502.0,2004,11,4
11,0.4,220000,1973,2368,J,C,A,RALEIGH,27607.0,2003,4,2
11,0.43,270000,1973,2295,A,D,C,RALEIGH,27607.0,2005,11,4
17,0.25,144000,1975,1888,A,C,A,RALEIGH,27604.0,2000,6,2
11,0.55,259000,1974,2648,A,D,C,RALEIGH,27607.0,2000,5,2
11,0.35,420000,1971,3080,A,F,C,RALEIGH,27607.0,2007,5,2
17,0.39,139000,1972,1218,A,C,A,RALEIGH,27604.0,2007,6,2
11,0.57,212500,1971,2340,A,D,C,RALEIGH,27607.0,2003,10,4
11,0.3,210000,1971,2166,I,E,A,RALEIGH,27607.0,2005,1,1
11,0.61,230000,1975,2720,G,E,A,RALEIGH,27607.0,2006,12,4
1,0.65,180000,1952,2466,A,E,A,RALEIGH,27610.0,2006,9,3
1,0.12,355000,1925,1971,A,C,A,RALEIGH,27604.0,2005,3,1
17,0.45,125000,1992,1161,A,C,A,KNIGHTDALE,27545.0,2007,4,2
1,0.33,117000,1959,1050,G,A,A,RALEIGH,27604.0,2004,1,1
18,0.46,110000,1959,1566,A,A,A,RALEIGH,27603.0,2004,12,4
1,0.16,166000,1935,3539,A,F,A,RALEIGH,27607.0,2003,6,2
17,0.33,169000,1972,1893,A,C,A,RALEIGH,27604.0,2007,4,2
17,0.31,145000,1972,1807,I,D,A,RALEIGH,27604.0,2001,8,3
1,0.52,180000,1960,1378,A,C,A,RALEIGH,27606.0,2007,8,3
1,0.58,150000,1960,3518,A,F,A,RALEIGH,27606.0,2001,8,3
1,0.36,292500,1966,3988,A,F,C,RALEIGH,27609.0,2004,2,1
1,0.27,200000,1973,1782,I,C,A,RALEIGH,27609.0,2006,8,3
1,0.27,141000,1962,1266,A,C,A,RALEIGH,27609.0,2002,5,2
1,0.18,178000,1947,1280,A,A,A,RALEIGH,27607.0,2001,11,4
11,0.04,151500,1969,2185,C,J,C,RALEIGH,27607.0,2002,12,4
10,1.0,135000,1966,1884,A,C,A,WENDELL,27591.0,2002,12,4
1,0.06,17500,1920,1145,A,A,A,RALEIGH,27601.0,2005,2,1
17,0.25,110000,1960,1216,G,B,A,RALEIGH,27604.0,2000,5,2
12,0.36,106000,2005,1232,A,C,A,FUQUAY VARINA,27526.0,2006,2,1
4,0.32,157000,1968,1558,A,C,A,CARY,27511.0,2007,5,2
1,0.1,105000,2005,1025,A,C,A,RALEIGH,27601.0,2007,3,1
1,0.4,230000,1954,1359,A,C,A,RALEIGH,27607.0,2006,5,2
12,0.19,91000,1954,1283,G,A,A,FUQUAY VARINA,27526.0,2003,10,4
1,0.25,314000,1943,1685,A,B,A,RALEIGH,27607.0,2005,11,4
7,0.35,154000,1973,1687,A,C,A,RALEIGH,27609.0,2004,5,2
7,0.39,160000,1973,1725,A,C,A,RALEIGH,27609.0,2004,3,1
7,0.33,170000,1972,1716,A,C,A,RALEIGH,27609.0,2006,12,4
7,0.36,185000,1973,1952,A,C,A,RALEIGH,27609.0,2006,11,4
7,0.33,136500,1973,1875,I,D,A,RALEIGH,27609.0,2003,10,4
7,0.51,184500,1973,1889,A,E,C,RALEIGH,27609.0,2005,6,2
7,0.29,145000,1973,1600,A,C,C,RALEIGH,27609.0,2000,1,1
7,0.29,155000,1973,1600,A,C,C,RALEIGH,27609.0,2004,8,3
7,0.21,140000,1972,1575,I,C,A,RALEIGH,27609.0,2001,3,1
7,0.25,132000,1972,1866,A,C,C,RALEIGH,27609.0,2001,4,2
7,0.28,129500,1972,1225,A,C,A,RALEIGH,27609.0,2000,2,1
7,0.26,122000,1972,1777,A,D,A,RALEIGH,27609.0,2000,12,4
7,0.27,167500,1972,1712,G,C,A,RALEIGH,27609.0,2003,3,1
7,0.26,193500,1973,1650,A,C,A,RALEIGH,27609.0,2008,7,3
7,0.33,205000,1973,1650,A,C,A,RALEIGH,27609.0,2009,6,2
7,0.26,150000,1971,2328,A,C,A,RALEIGH,27609.0,2002,6,2
7,0.23,110000,1972,1200,A,B,A,RALEIGH,27615.0,2000,12,4
7,0.23,80000,1971,1320,A,C,A,RALEIGH,27615.0,2003,8,3
7,0.14,110500,1972,1020,A,B,A,RALEIGH,27615.0,2006,9,3
7,0.3,113000,1972,1224,A,B,A,RALEIGH,27615.0,2003,3,1
7,0.84,104000,1972,1230,A,B,A,RALEIGH,27615.0,2003,3,1
7,0.18,100000,1972,1184,A,B,A,RALEIGH,27615.0,2007,1,1
7,0.18,134000,1972,1480,A,B,A,RALEIGH,27615.0,2004,8,3
7,0.4,95000,1980,1425,A,C,A,RALEIGH,27615.0,2009,9,3
7,0.19,152000,1973,1221,A,B,A,RALEIGH,27615.0,2009,7,3
7,0.18,88000,1973,1161,A,C,A,RALEIGH,27615.0,2005,8,3
7,0.25,100000,1971,1050,A,B,A,RALEIGH,27615.0,2000,3,1
7,0.23,109000,1972,1080,A,B,A,RALEIGH,27615.0,2007,1,1
7,0.54,300000,1968,3294,A,D,A,RALEIGH,27612.0,2007,6,2
7,0.7,301500,1969,2769,I,E,A,RALEIGH,27615.0,2006,6,2
12,0.86,232500,1910,2880,A,D,C,FUQUAY VARINA,27526.0,2004,9,3
13,0.3,195000,1969,2010,I,D,A,RALEIGH,27609.0,2002,1,1
12,0.34,105000,1920,1296,A,A,A,FUQUAY VARINA,27526.0,2008,7,3
